ian;mo;jo;jul;Sdepth(n);tminrec(n);tmaxrec(n);preciprec(n);lai(n);masec(n);mafruit;HR(1);HR(2);HR(3);HR(4);HR(5);resmes;drain;esol;et;zrac;tcult;AZnit(1);AZnit(2);AZnit(3);AZnit(4);AZnit(5);Qles;QNplante;azomes;inn;chargefruit;AZamm(1);AZamm(2);AZamm(3);AZamm(4);AZamm(5);CNgrain;concNO3les;drat;fapar;hauteur;Hmax;humidite;LRACH(1);LRACH(2);LRACH(3);LRACH(4);LRACH(5);mafrais;pdsfruitfrais;Qdrain;rnet;tmin(n);tmax(n);precip;TS(1);TS(2);TS(3)
2010; 1; 1;  1;     0.67560;    -0.50000;    -0.50000;     0.00000;     0.00000;     0.00000;     0.00000;    20.35618;    20.74626;    18.49454;     0.00000;     0.00000;   285.14633;     0.00000;     0.78118;     0.78118;     0.00000;    -0.50000;     0.89360;     0.11179;     1.64800;     0.00000;     0.00000;     0.00000;     0.00000;     2.65338;     1.00000;     0.00000;     0.96078;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.81386;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.05784;    -0.50000;    -0.50000;     0.00000;    -0.48977;    -0.48086;    -0.47752
2010; 1; 2;  2;     0.66209;    -0.50000;     0.00000;    18.50000;     0.00000;     0.00000;     0.00000;    22.00000;    21.00000;    18.49999;     0.00000;     0.00000;   289.34970;    13.31425;     0.33556;     0.33556;     0.00000;    -0.25000;     0.97616;     0.21645;     1.64455;     0.00000;     0.00000;     0.00345;     0.00000;     2.83716;     1.00000;     0.00000;     1.13873;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.11460;    13.31425;     0.00000;     0.00000;     0.00000;     0.84837;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.01000;    -0.50000;     0.00000;    17.85319;    -0.35302;    -0.44268;    -0.47625
2010; 1; 3;  3;     0.64885;    -0.50000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;    21.79237;    20.95969;    18.49913;     0.00000;     0.00000;   288.79840;     0.00000;     0.55134;     0.55134;     0.00000;    -0.25000;     0.98614;     0.21640;     1.64455;     0.00000;     0.00000;     0.00345;     0.00000;     2.84709;     1.00000;     0.00000;     1.13021;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;    13.31425;     0.00000;     0.00000;     0.00000;     0.86586;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.01000;    -0.50000;     0.00000;     0.00000;    -0.34272;    -0.42341;    -0.45363
2010; 1; 4;  4;     0.65087;    -0.50000;    -0.50000;     1.50000;     0.00000;     0.00000;     0.00000;    21.96679;    20.91702;    18.49821;     0.00000;     0.00000;   289.07211;     0.00000;     0.57944;     0.57944;     0.00000;    -0.50000;     1.00707;     0.21635;     1.64455;     0.00000;     0.00000;     0.00345;     0.00000;     2.86797;     1.00000;     0.00000;     1.13777;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;    13.31425;     0.00000;     0.00000;     0.00000;     0.92604;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.01000;    -0.50000;    -0.50000;     0.85319;    -0.47122;    -0.44616;    -0.43678
2010; 1; 5;  5;     0.63785;    -0.50000;    -0.50000;     0.00000;     0.00000;     0.00000;     0.00000;    21.70856;    20.86712;    18.49714;     0.00000;     0.00000;   288.38699;     0.00000;     0.68516;     0.68516;     0.00000;    -0.50000;     1.01639;     0.21631;     1.64455;     0.00000;     0.00000;     0.00345;     0.00000;     2.87726;     1.00000;     0.00000;     1.12756;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;    13.31425;     0.00000;     0.00000;     0.00000;     0.81518;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.01000;    -0.50000;    -0.50000;     0.00000;    -0.47409;    -0.45155;    -0.44310
2010; 1; 6;  6;     0.62510;    -0.50000;    -0.50000;     0.00000;     0.00000;     0.00000;     0.00000;    21.37970;    20.80286;    18.49576;     0.00000;     0.00000;   287.51263;     0.00000;     0.87438;     0.87438;     0.00000;    -0.50000;     1.02581;     0.21627;     1.64455;     0.00000;     0.00000;     0.00345;     0.00000;     2.88663;     1.00000;     0.00000;     1.11746;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;    13.31425;     0.00000;     0.00000;     0.00000;     0.81889;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.01000;    -0.50000;    -0.50000;     0.00000;    -0.47668;    -0.45639;    -0.44879
2010; 1; 7;  7;     0.61260;    -0.50000;    -0.50000;     0.00000;     0.00000;     0.00000;     0.00000;    21.03594;    20.73470;    18.49429;     0.00000;     0.00000;   286.59616;     0.00000;     0.91648;     0.91648;     0.00000;    -0.50000;     1.03534;     0.21623;     1.64455;     0.00000;     0.00000;     0.00345;     0.00000;     2.89612;     1.00000;     0.00000;     1.10747;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;    13.31425;     0.00000;     0.00000;     0.00000;     0.77714;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.01000;    -0.50000;    -0.50000;     0.00000;    -0.47902;    -0.46075;    -0.45391
2010; 1; 8;  8;     0.60034;    -0.50000;    -0.50000;     0.00000;     0.00000;     0.00000;     0.00000;    20.71161;    20.66941;    18.49287;     0.00000;     0.00000;   285.72894;     0.00000;     0.86720;     0.86720;     0.00000;    -0.50000;     1.04496;     0.21620;     1.64455;     0.00000;     0.00000;     0.00345;     0.00000;     2.90570;     1.00000;     0.00000;     1.09758;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;    13.31425;     0.00000;     0.00000;     0.00000;     0.59656;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.01000;    -0.50000;    -0.50000;     0.00000;    -0.48111;    -0.46468;    -0.45852
2010; 1; 9;  9;     0.58834;    -0.50000;    -0.50000;     0.00000;     0.00000;     0.00000;     0.00000;    20.17132;    20.66941;    18.49287;     0.00000;     0.00000;   284.55383;     0.00000;     1.17512;     1.17512;     0.00000;    -0.50000;     1.05461;     0.21616;     1.64455;     0.00000;     0.00000;     0.00345;     0.00000;     2.91532;     1.00000;     0.00000;     1.08780;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;    13.31425;     0.00000;     0.00000;     0.00000;     0.46002;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.01000;    -0.50000;    -0.50000;     0.00000;    -0.48300;    -0.46821;    -0.46267
2010; 1;10; 10;     0.57657;    -0.50000;    -0.50000;     0.00000;     0.00000;     0.00000;     0.00000;    19.93508;    20.66941;    18.49287;     0.00000;     0.00000;   284.03998;     0.00000;     0.51384;     0.51384;     0.00000;    -0.50000;     1.05827;     0.21613;     1.64455;     0.00000;     0.00000;     0.00345;     0.00000;     2.91895;     1.00000;     0.00000;     1.08404;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;    13.31425;     0.00000;     0.00000;     0.00000;     0.31563;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.01000;    -0.50000;    -0.50000;     0.00000;    -0.48470;    -0.47139;    -0.46640
